cityid,cityname,lattitude,longitude
51431,"Marol Bazar,Mumbai,400059,MAHARASHTRA",19.11379242,72.86969757
51432,"Marol Naka,Mumbai,400059,MAHARASHTRA",19.11379242,72.86969757
51433,"Jogeshwari East,Mumbai,400060,MAHARASHTRA",19.13558578,72.85839081
51434,"Madh,Mumbai,400061,MAHARASHTRA",19.13373566,72.81488037
51435,"Vesava,Mumbai,400061,MAHARASHTRA",19.13373566,72.81488037
51436,"Goregaon East,Mumbai,400063,MAHARASHTRA",19.16905785,72.85942078
51437,"Sharma Estate,Mumbai,400063,MAHARASHTRA",19.16905785,72.85942078
51438,"Liberty Garden,Mumbai,400064,MAHARASHTRA",19.19594193,72.8396759
51439,"Malad,Mumbai,400064,MAHARASHTRA",19.19594193,72.8396759
51440,"Malad West Dely,Mumbai,400064,MAHARASHTRA",19.19594193,72.8396759
51441,"Orlem,Mumbai,400064,MAHARASHTRA",19.19594193,72.8396759
51442,"Aareymilk Colony,Mumbai,400065,MAHARASHTRA",19.17125893,72.89321136
51443,"Nagari Niwara,Mumbai,400065,MAHARASHTRA",19.17125893,72.89321136
51444,"S R P F Camp,Mumbai,400065,MAHARASHTRA",19.17125893,72.89321136
51445,"Borivali East,Mumbai,400066,MAHARASHTRA",19.22900009,72.86196899
51446,"Daulat Nagar (Mumbai),Mumbai,400066,MAHARASHTRA",19.22900009,72.86196899
51447,"Magthane,Mumbai,400066,MAHARASHTRA",19.22900009,72.86196899
51448,"Rajendra Nagar (Mumbai),Mumbai,400066,MAHARASHTRA",19.22900009,72.86196899
51449,"S. K.Nagar,Mumbai,400066,MAHARASHTRA",19.22900009,72.86196899
51450,"Charkop,Mumbai,400067,MAHARASHTRA",19.20772171,72.83738708
51451,"Kandivali RS,Mumbai,400067,MAHARASHTRA",19.20772171,72.83738708
51452,"Kandivali West,Mumbai,400067,MAHARASHTRA",19.20772171,72.83738708
51453,"Dahisar RS,Mumbai,400068,MAHARASHTRA",19.24847794,72.86014557
51454,"Dahisar,Mumbai,400068,MAHARASHTRA",19.24847794,72.86014557
51455,"Ketkipada,Mumbai,400068,MAHARASHTRA",19.24847794,72.86014557
51456,"Andheri East,Mumbai,400069,MAHARASHTRA",19.12954521,72.85294342
